"","Reference.Number","Name","group","category","class","Feature.Easting","Feature.Northing","Positional.Accuracy.Code","Unique.Property.Reference.Number","Topographic.TOID","Topographic.TOID.Version","ITN.Easting","ITN.Northing","ITN.TOID","ITN.TOID.Version","Distance","Address.Detail","Street.Name","Locality","Geographic.County","Postcode","Verified.Address","Administrative.Boundary","Telephone.Number","URL","Brand","Qualifier.Type","Qualifier.Data","Provenance","Date.of.Supply"
"12991",16444319,"Asda Pharmacy",5,28,364,548682.4,183404.5,1,100045389,"0001000000106148",4,548641.6,183337.1,4000000030159371,5,78.8,"","Merrielands Crescent","Dagenham","Greater London","RM9 6SJ","Y","Barking and Dagenham London Boro",20898476331,"your.asda.com","Asda Pharmacy","","","Beechwood House Publishing Ltd","2015-03-01"
"13056",16441032,"Five Elms Clinic",5,28,365,548646.6,186051.6,1,100009947,"0001000000117320",3,548621,186025.6,4000000030159626,2,36.5,"","Five Elms Road","Dagenham","Greater London","RM9 5TT","Y","Barking and Dagenham London Boro",2085171175,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"13458",108408694,"NHS Barking & Dagenham CCG",5,29,359,545643.8,184305.6,1,100100148,"0001000007377856",3,545649.5,184375.8,4000000030428105,3,70.4,"Barking Hospital","Upney Lane","Barking","Greater London","IG11 9LX","Y","Barking and Dagenham London Boro",2036442372,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"13492",16441369,"Loxford Hall",5,28,365,544374.5,185145.8,1,100023582948,"0001000007194246",3,544365.3,185170,4000000030256657,2,25.9,"Loxford Hall","Loxford Lane","Ilford","Greater London","IG1 2PL","Y","Redbridge London Boro",3005551182,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18042",16450678,"Sandbern Pharmacy",5,28,364,547288.6,186955.2,1,100091603,"0001000000056678",3,547281.7,186939.4,4000000030156764,2,17.3,"703","Green Lane","Dagenham","Greater London","RM8 1UU","Y","Barking and Dagenham London Boro",2085904407,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18067",34141292,"Beacontree Psychotherapy Centre",5,28,365,548128,186604,1,100002551,"0001000000115107",3,548127,186620,4000000030102662,6,16.1,"Beacontree Avenue","","Dagenham","Greater London","RM8 3HR","N","Barking and Dagenham London Boro",3005551014,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18078",109121685,"Wigham House",2,10,167,544383.1,184461.4,1,10091800065,"0001000007191277",3,544367.3,184440,4000000030156287,12,26.6,"Wigham House 16-30","Wakering Road","Barking","Greater London","IG11 8QN","Y","Barking and Dagenham London Boro",8446001285,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18089",37026697,"Broad Street Medical Practice",5,28,812,549367,183962.2,1,10023594183,"1000001811250694",2,549331.4,184018.4,4000000030365432,4,66.6,"","Morland Road","Dagenham","Greater London","RM10 9HU","Y","Barking and Dagenham London Boro",2085964400,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18130",16444251,"Newlands Pharmacy",5,28,364,545340.6,183953.1,1,100047390,"0001000007372527",2,545343.4,183930.2,4000000030256566,3,23.1,"359","Ripple Road","Barking","Greater London","IG11 9PN","Y","Barking and Dagenham London Boro",2085941470,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18137",16444809,"Your Local Boots Pharmacy",5,28,364,549926.5,191226.4,1,100023217645,"0001000000177167",2,549939.8,191220,4000000030263966,6,14.8,"21","Clockhouse Lane","Romford","Greater London","RM5 3PH","Y","Havering London Boro",1708724905,"www.boots-uk.com","Alliance Boots","","","Beechwood House Publishing Ltd","2015-03-01"
"18139",16454441,"Safedale Pharmacy",5,28,364,550904.5,187395.7,1,10024389811,"0001000000221029",2,550921.8,187396,4000000030430962,5,17.3,"197","Rush Green Road","Romford","Greater London","RM7 0JR","Y","Havering London Boro",1708741537,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18156",19243093,"Dr Haq and Partner",5,28,369,544280.2,184542.1,1,100100144,"0001000042657131",4,544301.8,184560.8,4000000030102505,2,28.6,"","Harpour Road","Barking","Greater London","IG11 8RJ","Y","Barking and Dagenham London Boro",2080908106,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18174",16432308,"Dr Kalkat",5,28,369,545997.1,183114.8,1,100100163,"1000001811318864",3,545999.3,183145.6,4000000030256746,6,30.9,"","Bastable Avenue","Barking","Greater London","IG11 0LG","Y","Barking and Dagenham London Boro",2085073056,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18184",109121717,"Maylands Pharmacy",5,28,364,551980.1,186055.7,1,100023213742,"0001000000286363",4,552009.8,186052.4,4000000030082991,5,29.9,"300","Upper Rainham Road","Hornchurch","Greater London","RM12 4EQ","Y","Havering London Boro",1708453035,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18452",19242816,"Green Lane Surgery",5,28,369,547797.7,186899,1,100012096,"0001000000056290",4,547797.7,186917,4000000030257532,2,18,"872","Green Lane","Dagenham","Greater London","RM8 1BX","Y","Barking and Dagenham London Boro",2085997151,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18507",35797692,"Day Lewis Pharmacy",5,28,364,549737.1,184552.3,1,100062678,"0001000000156341",3,549723,184550.8,4000000030718001,5,14.1,"2 Royal Parade","Church Street","Dagenham","Greater London","RM10 9XB","Y","Barking and Dagenham London Boro",2085179142,"www.daylewisplc.co.uk","Day Lewis Plc","","","Beechwood House Publishing Ltd","2015-03-01"
"18549",16432298,"Victoria Medical Centre",5,28,369,544073.4,184490.3,1,100100481,"0001000007191512",7,544092,184477,4000000030256618,4,22.9,"1","Queens Road","Barking","Greater London","IG11 8GD","Y","Barking and Dagenham London Boro",2084778760,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18579",47497483,"Gables Surgery",5,28,369,546972.7,185060.7,1,100020735,"0001000007466084",2,546958.9,185064.1,4000000030360935,5,14.2,"50","Markyate Road","Dagenham","Greater London","RM8 2LD","Y","Barking and Dagenham London Boro",2036675410,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18659",80376535,"Dr Khan",5,28,369,544140.8,185063,1,10023771710,"1000001811319299",2,544120.4,185044.8,4000000031267936,2,27.3,"417","Ilford Lane","Ilford","Greater London","IG1 2SN","Y","Redbridge London Boro",2088223800,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18679",103914357,"Levitan & Associates",5,28,368,547670.4,184441.7,1,100091665,"0001000000049147",2,547651.1,184441,4000000030102542,3,19.3,"515a","Gale Street","Dagenham","Greater London","RM9 4TP","Y","Barking and Dagenham London Boro",2085925223,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18761",16430194,"Dr Afser & Partner",5,28,369,546742.9,185733.8,1,100090552,"0001000007464989",4,546743.9,185753.6,4000000030257276,3,19.9,"620","Longbridge Road","Dagenham","Greater London","RM8 2AJ","Y","Barking and Dagenham London Boro",8444778563,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18801",103919042,"Corvan Ltd",2,10,167,548847.1,190736.8,1,100003891,"0001000000126265",2,548831.9,190761.4,4000000030103790,5,29,"","Collier Row Road","Romford","Greater London","RM5 2BH","Y","Barking and Dagenham London Boro",1708732658,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18812",103924920,"Chadwell Heath Orthodontics",5,28,368,548266.4,188087.7,1,100013015,"0001000000124732",3,548269.1,188068.5,4000000030258935,2,19.4,"165","High Road","Romford","Greater London","RM6 6NL","Y","Barking and Dagenham London Boro",2085970908,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18860",103914351,"Castle Dental Practice",5,28,368,547404,186883,1,100101149,"0001000000057278",4,547405.7,186903.5,4000000030257509,5,20.6,"812","Green Lane","Dagenham","Greater London","RM8 1YR","N","Barking and Dagenham London Boro",2085981122,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"18985",16441020,"Julia Engwell Health Centre",5,28,365,547520,184362.1,1,100052287,"0001000000050082",4,547522.2,184341.4,4000000030156427,5,20.8,"J Engwell Clinic","Woodward Road","Dagenham","Greater London","RM9 4SR","Y","Barking and Dagenham London Boro",2082767200,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19057",16427358,"Market Street Health Group",5,28,369,542837.8,183310.8,1,10008989609,"0001000041887072",5,542831.1,183336.2,4000000030255781,2,26.3,"52","Market Street","London","Greater London","E6 2RA","Y","Newham London Boro",2085482200,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19100",16445461,"Britannia Pharmacy",5,28,364,549177,186834.3,1,100001119,"0001000000164674",2,549190.3,186834.8,4000000030262896,4,13.3,"5","Althorne Way","Dagenham","Greater London","RM10 7AY","Y","Barking and Dagenham London Boro",2085936213,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19163",16444304,"Tesco in-store Pharmacy",5,28,364,552025.6,187471.9,1,100023213217,"0001000000351918",23,552028.7,187418.6,4000000030159782,3,53.4,"300","Hornchurch Road","Hornchurch","Greater London","RM11 1PY","Y","Havering London Boro",1708288447,"www.tesco.com","Tesco","","","Beechwood House Publishing Ltd","2015-03-01"
"19192",103904467,"Pearls Dental Centre",5,28,368,546138.9,187325.6,1,10034922513,"0001000007473692",3,546132.8,187342,4000000030428350,3,17.5,"732","High Road","Ilford","Greater London","IG3 8SU","Y","Redbridge London Boro",2082525332,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19260",103931267,"British Limbless Ex Servicemen's Association",2,10,167,548333.9,188102.5,1,100013008,"0001000000124524",4,548336.6,188075.2,4000000030258933,2,27.5,"185-187","High Road","Romford","Greater London","RM6 6NA","Y","Barking and Dagenham London Boro",2085901124,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19301",103913664,"Parkview Dental Practice",5,28,368,551980.1,186055.7,1,100023213742,"0001000000286363",4,552009.8,186052.4,4000000030082991,5,29.9,"300","Upper Rainham Road","Hornchurch","Greater London","RM12 4EQ","Y","Havering London Boro",1708477900,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19307",103913672,"Rush Green Dental Practice",5,28,368,550947.6,187407.1,1,100023219176,"0001000000220880",3,550943.4,187428.5,4000000030365958,5,21.8,"193","Rush Green Road","Romford","Greater London","RM7 0PX","Y","Havering London Boro",1708748707,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19339",103923758,"Mr Ian Levitan's Dental Surgery",5,28,368,549334.8,183841.3,1,NA,"0001000000154901",2,549336.5,183825.3,4000000030103477,6,16.1,"1","Orchard Road","Dagenham","Greater London","RM10 9PT","Y","Barking and Dagenham London Boro",2085924330,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19387",16430193,"Dr Kashyap & Partner",5,28,369,548143.5,189529.1,1,100091557,"1000001811261649",2,548143.5,189508,4000000030362552,4,21.1,"","Lawn Farm Grove","Romford","Greater London","RM6 5LL","Y","Barking and Dagenham London Boro",2089180560,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19432",16444330,"The Co-operative Pharmacy",5,28,364,548042.8,189448,1,100027177,"0001000000125761",3,548068,189457,4000000030259036,6,26.8,"107","Rose Lane","Romford","Greater London","RM6 5NR","Y","Barking and Dagenham London Boro",2085900215,"www.co-operativepharmacy.co.uk","The Co-operative","","","Beechwood House Publishing Ltd","2015-03-01"
"19445",16429003,"Dr Moghal",5,28,369,548580.8,186679.4,1,100100781,"1000001811195968",3,548582.7,186648,4000000030262859,4,31.4,"641-645","Becontree Avenue","Dagenham","Greater London","RM8 3HP","Y","Barking and Dagenham London Boro",2037473020,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19472",16436341,"Community Mental Health Services",5,28,372,549347,183974,1,NA,"1000001811250695",3,549331.4,184018.4,4000000030365432,4,47.1,"Broad Street Health Centre","Morland Road","Dagenham","Greater London","RM10 9HW","N","Barking and Dagenham London Boro",3005551016,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19500",103905597,"Oval Road North Surgery",5,28,369,549674.8,183761.4,1,100071665,"0001000000153524",2,549674.8,183746,4000000030262321,5,15.4,"69","Oval Road North","Dagenham","Greater London","RM10 9ET","Y","Barking and Dagenham London Boro",2085920606,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19535",103926245,"Dr Ansari & Partners",5,28,369,545310.5,183906,1,100100528,"0001000007372691",3,545308.1,183925.8,4000000030256566,3,20,"364-370","Ripple Road","Barking","Greater London","IG11 9RS","Y","Barking and Dagenham London Boro",2089113777,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19551",103930131,"George Brooker House Care Home",5,28,373,548635,184206,1,100040168,"0001000000108811",3,548652.1,184186.6,4000000030103493,6,25.9,"George Brooker House 100","Dagenham Avenue","Dagenham","Greater London","RM9 6LH","Y","Barking and Dagenham London Boro",2089848983,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19773",103917367,"Grays Court Community Hospital",5,28,371,549751,184456,1,NA,"1000001811257042",3,549728,184456,4000000030262440,2,23,"John Parker Close","","Dagenham","Greater London","RM10 9SR","N","Barking and Dagenham London Boro",2087241463,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19874",16440346,"Moorfields Community Eye Service",5,28,365,545643.8,184305.6,1,100100148,"0001000007377856",3,545649.5,184375.8,4000000030428105,3,70.4,"Barking Hospital","Upney Lane","Barking","Greater London","IG11 9LX","Y","Barking and Dagenham London Boro",2032882320,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19888",103904738,"Gallions Reach Dental Clinic",5,28,368,546469.1,180631.6,1,100023267029,"0001000007457303",5,546532.2,180701.1,4000000030350160,2,93.9,"","Bentham Road","London","Greater London","SE28 8BE","Y","Greenwich London Boro",2083104948,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"19986",16433217,"Gladstone Avenue Surgery",5,28,369,542494,184514.8,1,10008986500,"0001000041890397",3,542498.4,184501.5,4000000030102383,7,14,"57","Gladstone Avenue","London","Greater London","E12 6NR","Y","Newham London Boro",2084714764,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"20033",16427385,"Dr Shah & Partner",5,28,369,546325.8,187481.2,1,100023049863,"0001000007473495",3,546306.6,187484.1,4000000030102652,7,19.4,"4","Eastwood Road","Ilford","Greater London","IG3 8XB","Y","Redbridge London Boro",2085901169,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"20099",16432333,"Dr Kukathasan & Partner",5,28,369,550940.6,187405.6,1,100023219177,"0001000000220881",3,550927.4,187406.9,4000000030365959,4,13.3,"195","Rush Green Road","Romford","Greater London","RM7 0PX","Y","Havering London Boro",1708741872,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"20148",16438017,"Parkview Medical Centre",5,28,369,549876.8,185126,1,10002167214,"0001000000162202",2,549884.2,185108.8,4000000030159471,3,18.7,"199","Reede Road","Dagenham","Greater London","RM10 8EJ","Y","Barking and Dagenham London Boro",2085922664,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"20225",16444322,"Day Lewis Pharmacy",5,28,364,549303.6,184001,1,100037985,"0001000000159901",4,549288,184000,4000000030159386,3,15.6,"149","Broad Street","Dagenham","Greater London","RM10 9JA","Y","Barking and Dagenham London Boro",2085920161,"www.daylewisplc.co.uk","Day Lewis Plc","","","Beechwood House Publishing Ltd","2015-03-01"
"20577",16434501,"Rainham Medical Centre",5,28,369,551110.4,183253.2,1,100023214569,"0001000000281825",4,551114,183271.9,4000000030159490,3,19,"39","Frederick Road","Rainham","Greater London","RM13 8NJ","Y","Havering London Boro",1708552738,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"20580",16434484,"The Surgery",5,28,369,548940.4,187093.5,1,100012690,"0001000000120365",3,548972.4,187102.6,4000000030262874,2,33.3,"1","Grosvenor Road","Dagenham","Greater London","RM8 1NR","Y","Barking and Dagenham London Boro",2085921082,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"20609",16444245,"David Lewis Pharmacy",5,28,364,547775.5,185758.7,1,100024199,"0001000000052322",2,547794.4,185755.2,4000000030257330,3,19.3,"16","Porters Avenue","Dagenham","Greater London","RM8 2AQ","Y","Barking and Dagenham London Boro",2085921557,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"20621",16426351,"Thamesmead Medical Associates",5,28,369,546469.1,180631.6,1,100023267029,"0001000007457303",5,546532.2,180701.1,4000000030350160,2,93.9,"","Bentham Road","London","Greater London","SE28 8BE","Y","Greenwich London Boro",2083335000,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"20657",16435903,"The Surgery",5,28,369,544706.2,183738.1,1,100047222,"0001000042430360",2,544705.5,183755.1,4000000030156249,7,17,"188","Ripple Road","Barking","Greater London","IG11 7PR","Y","Barking and Dagenham London Boro",2085940212,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22151",20045245,"Grovelands Day Hospital",5,28,372,547089,188587,1,NA,"0001000000066405",4,547138,188548.7,4000000031056617,1,62.3,"Grove Road","","Romford","Greater London","RM6 4XH","N","Redbridge London Boro",3005551179,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22152",16427355,"Drs Haider, Finnegan & Partner",5,28,369,547825.1,185903.2,1,100101598,"0001000000051766",2,547803.4,185901.8,4000000030102631,2,21.8,"561-563","Valence Avenue","Dagenham","Greater London","RM8 3RH","Y","Barking and Dagenham London Boro",2085929111,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22176",54287102,"Superdrug Stores plc",5,28,364,544382,184207,1,100060418,"0001000007191144",4,544384.6,184221,4000000030867280,3,14.2,"12-13","Station Parade","Barking","Greater London","IG11 8DN","N","Barking and Dagenham London Boro",2085944139,"www.superdrug.com","Superdrug","","","Beechwood House Publishing Ltd","2015-03-01"
"22191",16444239,"Mastaa-Care Pharmacy Ltd",5,28,364,548932.6,187056.2,1,100032576,"0001000000120812",3,548908.5,187045.7,4000000031091260,4,26.3,"26","Whalebone Lane South","Dagenham","Greater London","RM8 1BJ","Y","Barking and Dagenham London Boro",2085922497,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22192",16444241,"W H Burdess Chemist",5,28,364,550089.4,189298.6,1,100021386518,"0001000000229488",4,550070.9,189292,4000000030263598,2,19.7,"178","Mawney Road","Romford","Greater London","RM7 8BU","Y","Havering London Boro",1708743043,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22235",16427335,"Wood Lane Medical Centre",5,28,369,552393.8,185142.1,1,100023214057,"0001000000345595",2,552403.1,185122.4,4000000030262658,2,21.8,"39","Wood Lane","Hornchurch","Greater London","RM12 5HX","Y","Havering London Boro",1708450902,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22239",32301014,"Dr Patel",5,28,369,548378.8,188099.6,1,100001237,"1000001811279838",1,548402.8,188102.2,4000000030102885,4,24.1,"","Ashton Gardens","Romford","Greater London","RM6 6RT","Y","Barking and Dagenham London Boro",2089180580,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22240",32301029,"Dr Mohan & Partner",5,28,369,548062.8,184132.3,1,10023591599,"1000001811235644",1,548048.2,184160.1,4000000030360965,3,31.4,"","Urswick Road","Dagenham","Greater London","RM9 6EA","Y","Barking and Dagenham London Boro",2089844460,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22282",16454246,"Drs Beheshti & Sanomi",5,28,369,550932.1,186892.8,1,100101988,"0001000000218784",5,550906.8,186883.9,4000000031100432,1,26.9,"261","Dagenham Road","Romford","Greater London","RM7 0XR","Y","Barking and Dagenham London Boro",1708728261,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22291",19244027,"Lloyds Pharmacy",5,28,364,552665.6,185621.6,1,100023214050,"0001000000341637",2,552654.8,185607.2,4000000030159741,3,18,"2","Tadworth Parade","Hornchurch","Greater London","RM12 5AS","Y","Havering London Boro",1708451459,"www.lloydspharmacy.com","Lloyds Pharmacy","","","Beechwood House Publishing Ltd","2015-03-01"
"22333",109121575,"Barking Community Hospital",5,28,371,545643.8,184305.6,1,100100148,"0001000007377856",3,545649.5,184375.8,4000000030428105,3,70.4,"Barking Hospital","Upney Lane","Barking","Greater London","IG11 9LX","Y","Barking and Dagenham London Boro",3005551019,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22340",49127022,"Britannia Pharmacy",5,28,364,545997.1,183114.8,1,100100163,"1000001811318864",3,545999.3,183145.6,4000000030256746,6,30.9,"","Bastable Avenue","Barking","Greater London","IG11 0LG","Y","Barking and Dagenham London Boro",2085943369,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22380",16428905,"Dr Ola",5,28,369,550169.1,184832.7,1,100105275,"0001000000214897",2,550164.6,184847.4,4000000030103508,2,15.4,"36","Dewey Road","Dagenham","Greater London","RM10 8AR","Y","Barking and Dagenham London Boro",2085920049,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22397",16444323,"Day Lewis Pharmacy",5,28,364,552128.9,184661.6,1,100023214443,"0001000000338625",2,552152.6,184656.9,4000000030159550,2,24.1,"109","Mungo Park Road","Rainham","Greater London","RM13 7PP","Y","Havering London Boro",1708554145,"www.daylewisplc.co.uk","Day Lewis Plc","","","Beechwood House Publishing Ltd","2015-03-01"
"22418",76051970,"Child and Family Centre",5,28,365,544313.8,183902.1,1,100100143,"1000001811314530",1,544328.3,183883.4,4000000030156226,7,23.7,"79","Axe Street","Barking","Greater London","IG11 7LZ","Y","Barking and Dagenham London Boro",2085229600,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22422",103905688,"Julia Engwell Dental Clinic",5,28,368,547520,184362.1,1,100052287,"0001000000050082",4,547522.2,184341.4,4000000030156427,5,20.8,"J Engwell Clinic","Woodward Road","Dagenham","Greater London","RM9 4SR","Y","Barking and Dagenham London Boro",2082767203,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22485",16436343,"Orchards Health Centre",5,28,365,544478,183438.3,1,100091394,"0001000042431033",7,544453.3,183430.2,4000000031030120,1,26,"","Gascoigne Road","Barking","Greater London","IG11 7RS","Y","Barking and Dagenham London Boro",2036442162,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22501",37026669,"Queen's Hospital",5,28,371,551109.5,187777.2,1,10013186555,"1000002504083189",1,551195.6,187806.5,4000000031047251,3,91,"","Rom Valley Way","Romford","Greater London","RM7 0AG","Y","Havering London Boro",1708435000,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22651",37177042,"Queen's Hospital",5,28,780,551147,187865,1,NA,"1000002504083189",1,551174.3,187872.9,4000000031047251,3,28.4,"Rom Valley Way","","Romford","Greater London","RM7 0AG","N","Havering London Boro",1708435000,"","NHS","","","Beechwood House Publishing Ltd","2015-03-01"
"22690",16453010,"Cordeve Chemist",5,28,364,547399,188172,1,100022262785,"0001000000067943",5,547389.4,188152.8,4000000030362415,2,21.5,"70","Chadwell Heath Lane","Romford","Greater London","RM6 4NP","Y","Redbridge London Boro",2085906804,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22754",16434461,"Thamesview Medical Centre",5,28,369,545997.1,183114.8,1,100100163,"1000001811318864",3,545999.3,183145.6,4000000030256746,6,30.9,"","Bastable Avenue","Barking","Greater London","IG11 0LG","Y","Barking and Dagenham London Boro",2085941061,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22836",32300955,"John Smith Medical Centre",5,28,369,546532,184304,1,NA,"1000001811248202",2,546536.5,184279.8,4000000030256849,3,24.6,"Health Centre John Smith House","Bevan Avenue","Barking","Greater London","IG11 9LL","Y","Barking and Dagenham London Boro",2085949013,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22867",16453015,"Allans Pharmacy",5,28,364,547657.3,187908.8,1,100023217951,"0001000000060981",2,547664.9,187890.8,4000000030258905,2,19.5,"1207","High Road","Romford","Greater London","RM6 4AL","Y","Redbridge London Boro",2085988815,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22923",16453955,"Dr Pervez",5,28,369,549710,183571.3,1,100066972,"0001000000154120",2,549710.8,183587.9,4000000030103488,2,16.6,"2","Third Avenue","Dagenham","Greater London","RM10 9BA","Y","Barking and Dagenham London Boro",2085920346,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"22964",16450367,"Zadams Chemist",5,28,364,546314.4,187426.6,1,10034922548,"0001000007473471",3,546320.3,187411.2,4000000030257474,2,16.4,"841","High Road","Ilford","Greater London","IG3 8TG","Y","Redbridge London Boro",2085993150,"","","","","Beechwood House Publishing Ltd","2015-03-01"
